Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Condition,Measure ID,Measure Name,Score,Sample,Footnote,Measure Start Date,Measure End Date,Location
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,2233 W DIVISION ST,CHICAGO,IL,60622,COOK,3127702000,Emergency Department,OP_20,Door to diagnostic eval,36,398,,04/01/2013,03/31/2014,"2233 W DIVISION ST
CHICAGO, IL 60622
(41.90303900300006, -87.68302222099999)"
380002,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,5414727000,Emergency Department,OP_20,Door to diagnostic eval,40,221,,04/01/2013,03/31/2014,"500 SW RAMSEY AVENUE
GRANTS PASS, OR 97527
(42.42144852400003, -123.33958402699994)"
450211,MEMORIAL MEDICAL CENTER OF EAST TEXAS,1201 WEST FRANK STREET,LUFKIN,TX,75901,ANGELINA,9366348111,Emergency Department,OP_20,Door to diagnostic eval,55,353,,04/01/2013,03/31/2014,"1201 WEST FRANK STREET
LUFKIN, TX 75901
(31.32533210500003, -94.68526612199997)"
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,9143787000,Emergency Department,OP_20,Door to diagnostic eval,71,373,,04/01/2013,03/31/2014,"127 SOUTH BROADWAY
YONKERS, NY 10701
(40.929615753000064, -73.89700558699997)"
380102,SACRED HEART MEDICAL CENTER - RIVERBEND,3333 RIVERBEND DRIVE,SPRINGFIELD,OR,97477,LANE,5412227300,Emergency Department,OP_20,Door to diagnostic eval,47,401,,04/01/2013,03/31/2014,"3333 RIVERBEND DRIVE
SPRINGFIELD, OR 97477
(44.08263516200003, -123.02805681299998)"
450087,NORTH HILLS HOSPITAL,4401 BOOTH CALLOWAY ROAD,NORTH RICHLAND HILLS,TX,76180,TARRANT,8172551000,Emergency Department,OP_20,Door to diagnostic eval,11,501,,04/01/2013,03/31/2014,"4401 BOOTH CALLOWAY ROAD
NORTH RICHLAND HILLS, TX 76180
(32.82889094800004, -97.21224284699997)"
420055,CAROLINAS HOSPITAL SYSTEM MARION,2829 E HWY 76,MULLINS,SC,29574,MARION,8434312000,Emergency Department,OP_20,Door to diagnostic eval,31,413,,04/01/2013,03/31/2014,"2829 E HWY 76
MULLINS, SC 29574
(34.188898178000045, -79.32689093799996)"
110104,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,CORDELE,GA,31015,CRISP,2292763100,Emergency Department,OP_20,Door to diagnostic eval,18,490,,04/01/2013,03/31/2014,"902 7TH STREET NORTH
CORDELE, GA 31015
(31.960109637000073, -83.78253310999997)"
150115,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,800 W 9TH ST,JASPER,IN,47546,DUBOIS,8129962345,Emergency Department,OP_20,Door to diagnostic eval,24,317,,04/01/2013,03/31/2014,"800 W 9TH ST
JASPER, IN 47546
(38.39377028600006, -86.94223275599995)"
351302,MCKENZIE COUNTY HEALTHCARE SYSTEMS,516 NORTH MAIN ST,WATFORD CITY,ND,58854,MCKENZIE,7018423000,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"516 NORTH MAIN ST
WATFORD CITY, ND 58854
(47.80675506500006, -103.28303906999997)"
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON ST,WHITEVILLE,NC,28472,COLUMBUS,9106428011,Emergency Department,OP_20,Door to diagnostic eval,42,400,,04/01/2013,03/31/2014,"500 JEFFERSON ST
WHITEVILLE, NC 28472
(34.33866358700004, -78.69379735099994)"
260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,1000 W 10TH ST,ROLLA,MO,65401,PHELPS,5734588899,Emergency Department,OP_20,Door to diagnostic eval,15,437,,04/01/2013,03/31/2014,"1000 W 10TH ST
ROLLA, MO 65401
(37.951451002000056, -91.78392372499997)"
161343,REGIONAL MEDICAL CENTER,709 W MAIN STREET,MANCHESTER,IA,52057,DELAWARE,5639273232,Emergency Department,OP_20,Door to diagnostic eval,Not Available,Not Available,5 - Results are not available for this reporting period.,04/01/2013,03/31/2014,"709 W MAIN STREET
MANCHESTER, IA 52057
(42.48391673700007, -91.46594018599995)"
450028,"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,CAMERON,9565441400,Emergency Department,OP_20,Door to diagnostic eval,22,538,,04/01/2013,03/31/2014,"1040 W JEFFERSON ST
BROWNSVILLE, TX 78520
(25.91749079400006, -97.51148006299996)"
140164,MEMORIAL HOSPITAL OF CARBONDALE,405 W JACKSON,CARBONDALE,IL,62902,JACKSON,6185490721,Emergency Department,OP_20,Door to diagnostic eval,29,422,,04/01/2013,03/31/2014,"405 W JACKSON
CARBONDALE, IL 62902
(37.67627891400008, -89.15191899799999)"
420078,GHS GREENVILLE MEMORIAL HOSPITAL,701 GROVE RD,GREENVILLE,SC,29605,GREENVILLE,8644557000,Emergency Department,OP_20,Door to diagnostic eval,74,358,,04/01/2013,03/31/2014,"701 GROVE RD
GREENVILLE, SC 29605
(34.821460873000035, -82.41375224999996)"
110024,CANDLER HOSPITAL,5353 REYNOLDS STREET,SAVANNAH,GA,31412,CHATHAM,9128196000,Emergency Department,OP_20,Door to diagnostic eval,50,322,,04/01/2013,03/31/2014,"5353 REYNOLDS STREET
SAVANNAH, GA 31412
(32.02767576600007, -81.10166466099997)"
